cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
187,2932,2077406,2077,0.321018
188,2938,2082485,2022,0.3219
189,3007,2093597,2025,0.321954
190,2854,2072986,2027,0.326831
191,2920,2076343,2053,0.328092
192,2837,2066942,2077,0.331338
193,2903,2072295,2077,0.332201
194,2961,2085710,2084,0.33177
195,2916,2085522,2083,0.333548
196,2847,2072139,2067,0.337473
197,2906,2072917,2067,0.339034
198,2920,2078618,2039,0.339855
199,2928,2085118,2070,0.340455
200,2930,2090632,2104,0.341364
201,2938,2094406,2108,0.342456
202,2905,2095305,2111,0.344063
203,2912,2098175,2142,0.345265
204,2915,2097425,2159,0.347167
205,2958,2105313,2170,0.347528
206,2946,2108716,2162,0.34858
207,2966,2117548,2167,0.348722
208,2889,2105431,2158,0.352482
209,2924,2112239,2123,0.35307
210,2912,2112592,2145,0.354702
211,2889,2109751,2144,0.356852
212,2851,2104334,2150,0.359505
213,2959,2119318,2168,0.358694
214,2918,2116386,2177,0.360955
215,2840,2103507,2171,0.364841
216,2823,2095781,2152,0.367962
217,2853,2099615,2174,0.36901
218,2825,2090985,2172,0.372267
219,2927,2107683,2164,0.37101
220,2869,2104647,2152,0.373226
221,2929,2114387,2157,0.373272
222,2902,2118332,2157,0.374272
223,2852,2108428,2147,0.377705
224,2841,2106097,2138,0.379886
225,2899,2114030,2158,0.380096
226,2908,2122612,2174,0.380261
227,2943,2134999,2174,0.379742
228,2850,2125068,2171,0.383297
229,2798,2112785,2171,0.387295
230,2919,2126913,2120,0.386472
231,2864,2124107,2136,0.388697
232,2863,2122743,2108,0.390675
233,2855,2123233,2113,0.392323
234,2817,2115518,2106,0.395451
235,2824,2116910,2081,0.396972
236,2862,2121847,2135,0.397704
237,2848,2122833,2145,0.399235
238,2857,2129500,2171,0.399683
239,2849,2130996,2187,0.401139
240,2836,2124790,2200,0.403982
241,2779,2113274,2182,0.407804
242,2875,2125188,2181,0.407246
243,2789,2112010,2180,0.411445
244,2769,2102983,2149,0.414875
245,2743,2101970,2145,0.416758
246,2926,2127248,2140,0.41346
247,2777,2110976,2136,0.418348
248,2763,2109702,2140,0.420336
249,2766,2110898,2155,0.421829
250,2797,2113876,2136,0.423049
251,2838,2126269,2153,0.422245
252,2830,2128714,2159,0.423394
253,2806,2123947,2143,0.426035
254,2830,2126174,2170,0.427288
255,2749,2113795,2132,0.431386
256,2837,2124352,2133,0.431043
257,2841,2131171,2109,0.43124
258,2721,2116523,2124,0.435987
259,2781,2117637,2131,0.437486
260,2747,2113252,2094,0.44006
261,2678,2099859,2104,0.444635
262,2846,2121259,2158,0.441858
263,2794,2121382,2183,0.44354
264,2832,2129166,2193,0.443642
265,2818,2126837,2158,0.445822
266,2813,2134091,2167,0.446005
267,2741,2121057,2160,0.45041
268,2703,2108418,2146,0.454728
269,2796,2124823,2168,0.452834
270,2771,2127920,2169,0.45384
271,2837,2141699,2171,0.452526
272,2779,2133268,2164,0.455924
273,2781,2135289,2152,0.457116
274,2848,2147205,2173,0.456194
275,2814,2144817,2168,0.458376
276,2663,2122301,2141,0.464755
277,2764,2130778,2151,0.464519
278,2813,2139008,2148,0.464333
279,2758,2136998,2131,0.466476
280,2793,2137608,2140,0.467969
281,2741,2130733,2167,0.471151
282,2692,2122438,2172,0.474744
283,2763,2131104,2174,0.474429
284,2791,2133983,2172,0.475477
285,2782,2135925,2145,0.476702
286,2772,2133348,2166,0.47893
287,2694,2122598,2155,0.482915
288,2753,2128543,2167,0.483245
289,2696,2122671,2150,0.486243
290,2753,2127724,2203,0.486719
291,2679,2122035,2159,0.489708
292,2739,2129345,2194,0.489707
293,2693,2122764,2182,0.49288
294,2802,2139040,2200,0.490769
295,2763,2135785,2190,0.493188
296,2698,2131105,2182,0.49601
297,2804,2148597,2219,0.493696
298,2739,2144561,2230,0.496304
299,2644,2129444,2216,0.501464
300,2678,2127077,2211,0.503787
