cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,582,1,6.25
3,32,2797,2,2.52168
4,128,11954,13,0.895817
5,512,48638,47,0.294272
6,2048,196085,188,0.0914245
7,3314,407288,417,0.0528688
8,3278,531495,493,0.0472383
9,3247,622784,583,0.0461056
10,3271,702418,656,0.0460292
11,3330,776506,770,0.0462626
12,3242,826334,841,0.0478319
13,3269,877982,890,0.0491391
14,3330,935609,933,0.049947
15,3283,973584,963,0.0516929
16,3275,1005677,979,0.0536542
17,3306,1043867,1015,0.0551285
18,3262,1074491,1054,0.0569252
19,3214,1094535,1121,0.0591349
20,3337,1140068,1159,0.0598915
21,3258,1162184,1190,0.0618925
22,3259,1183388,1209,0.0637893
23,3238,1205457,1208,0.0655889
24,3293,1239192,1264,0.0667246
25,3239,1248410,1256,0.0690834
26,3341,1284463,1277,0.0699413
27,3263,1295975,1276,0.0721029
28,3248,1314777,1272,0.0737944
29,3146,1316162,1297,0.0764602
30,3285,1352835,1323,0.0770494
31,3217,1362831,1343,0.0791257
32,3254,1383151,1362,0.0805578
33,3315,1409879,1387,0.0816305
34,3231,1414901,1408,0.0838791
35,3160,1417517,1422,0.0862607
36,3158,1425543,1450,0.0883106
37,3232,1446149,1458,0.0895213
38,3212,1458745,1462,0.091199
39,3222,1472912,1469,0.092804
40,3276,1495320,1488,0.0937698
41,3197,1498708,1491,0.0959704
42,3264,1523073,1501,0.0968126
43,3327,1543560,1533,0.0978255
44,3122,1527364,1516,0.101196
45,3193,1535324,1530,0.10305
46,3237,1556988,1541,0.103944
47,3190,1560581,1548,0.105986
48,3217,1571632,1579,0.107541
49,3220,1585045,1591,0.108936
50,3174,1585476,1580,0.111142
51,3178,1595558,1612,0.112677
52,3239,1611636,1614,0.113793
53,3150,1609265,1602,0.116267
54,3172,1617005,1626,0.117957
55,3092,1609976,1616,0.120683
56,3283,1643995,1650,0.120351
57,3138,1637496,1631,0.123045
58,3191,1648380,1652,0.124393
59,3193,1660721,1643,0.125655
60,3123,1660507,1629,0.127874
61,3291,1693752,1670,0.127509
62,3151,1688872,1658,0.130003
63,3244,1707227,1667,0.13065
64,3137,1705746,1681,0.132903
65,3271,1731207,1679,0.133035
66,3095,1713250,1689,0.136528
67,3217,1732029,1704,0.13713
68,3186,1736047,1671,0.138934
69,3208,1752134,1669,0.139767
70,3087,1741018,1691,0.142723
71,3133,1748013,1721,0.144256
72,3179,1759292,1733,0.145403
73,3142,1755485,1715,0.147791
74,3111,1757948,1721,0.149665
75,3139,1765209,1751,0.151133
76,3168,1778502,1747,0.15213
77,3269,1802699,1800,0.152073
78,3078,1780886,1790,0.155916
79,3107,1785943,1804,0.157487
80,3182,1800316,1834,0.15821
81,3162,1806523,1861,0.159702
82,3145,1808674,1832,0.161494
83,3133,1814051,1843,0.162976
84,3041,1801725,1786,0.1661
85,3073,1804714,1792,0.167884
86,3178,1829201,1810,0.167553
87,3102,1824830,1808,0.169903
88,3125,1828758,1780,0.171528
89,3140,1838332,1778,0.17264
90,3061,1831729,1783,0.175218
91,3195,1851344,1839,0.17534
92,3199,1864119,1819,0.176017
93,3092,1852704,1831,0.178993
94,3133,1860939,1839,0.180131
95,3086,1857171,1823,0.182479
96,3066,1855309,1854,0.184665
97,3180,1877307,1906,0.184422
98,3024,1864155,1873,0.187664
99,3113,1877611,1861,0.188242
100,3053,1877771,1880,0.190185
101,3090,1880400,1902,0.191851
102,3191,1899878,1908,0.191801
103,2988,1879339,1870,0.195768
104,2984,1872918,1868,0.198352
105,3112,1890936,1852,0.198325
106,3129,1901456,1849,0.199194
107,3044,1895760,1829,0.201656
108,3082,1902632,1841,0.202813
109,3175,1917652,1891,0.203112
110,3126,1919797,1873,0.204692
111,3191,1935867,1902,0.204814
112,3146,1946946,1926,0.205528
113,3077,1939934,1919,0.208074
114,3051,1935820,1917,0.210373
115,3093,1943929,1925,0.211281
116,3060,1934620,1922,0.214178
117,3008,1927470,1908,0.216876
118,3075,1937878,1883,0.217517
119,3055,1944435,1847,0.218664
120,3157,1964016,1935,0.218277
121,3057,1957292,1927,0.220836
122,3052,1956939,1938,0.222732
123,3038,1952991,1934,0.225058
124,3051,1952114,1915,0.227056
125,3142,1970190,1957,0.226825
126,3073,1969206,1949,0.228793
127,3104,1981295,1981,0.229225
128,3037,1977473,1950,0.231404
129,3133,1991357,1967,0.231699
130,3093,1993631,1963,0.233236
131,3083,1994838,1987,0.234946
132,2982,1982162,1959,0.238152
133,3014,1981416,1955,0.240076
134,3016,1980083,1948,0.242122
135,3040,1985203,1952,0.24327
136,3071,1995866,1981,0.24382
137,3072,2000918,2017,0.244994
138,3054,2002588,1996,0.246607
139,3101,2013951,1976,0.247033
140,2990,2000879,1966,0.250464
141,3063,2013995,1932,0.250543
142,2953,2000053,1912,0.254052
143,3000,1999241,1917,0.25594
144,3103,2018737,1975,0.255265
145,3034,2014148,1989,0.257601
146,2967,2005628,1955,0.260452
147,3069,2021620,1979,0.260073
148,3034,2022769,1990,0.261794
149,3063,2031352,2019,0.262448
150,2957,2017993,2003,0.265972
151,3071,2034289,2016,0.265588
152,3060,2039069,2022,0.266707
153,3020,2036015,1976,0.268785
154,3015,2033933,2016,0.270845
155,3003,2037254,2005,0.272136
156,2926,2024301,1999,0.275613
157,3016,2035261,2040,0.275891
158,3037,2046395,2045,0.276129
159,2915,2035151,2035,0.279392
160,3077,2056980,2061,0.278176
161,2981,2044996,2041,0.281567
162,2970,2039348,2068,0.284134
163,3012,2045672,2084,0.285007
164,2901,2032999,2071,0.288513
165,2990,2049496,2097,0.287904
166,2929,2044888,2117,0.290415
167,3015,2056975,2120,0.290507
168,3004,2065232,2150,0.291061
169,2974,2061117,2134,0.293306
170,2969,2060336,2129,0.295147
171,2980,2065819,2147,0.29618
172,2979,2066878,2164,0.29773
173,3024,2071436,2157,0.298922
174,2956,2065349,2141,0.301588
175,2977,2066785,2121,0.303122
176,2985,2071901,2071,0.304077
177,2926,2068142,2058,0.306387
178,2931,2068260,2061,0.308083
179,2979,2075844,2072,0.308637
180,2953,2076193,2078,0.310291
181,2996,2085581,2090,0.310629
182,2901,2072750,2103,0.314206
183,2930,2077985,2109,0.315113
184,2873,2069310,2126,0.318229
185,2890,2069451,2133,0.320004
186,2969,2083241,2147,0.319597
187,2917,2076319,2164,0.322466
188,2896,2071726,2168,0.324895
189,2918,2073567,2152,0.326324
190,2945,2084605,2164,0.326377
191,2947,2089963,2181,0.32718
192,2950,2091971,2186,0.328602
193,2898,2083008,2139,0.331657
194,2963,2090423,2145,0.332152
195,2975,2093610,2143,0.333283
196,2965,2093933,2149,0.334881
197,2919,2094019,2164,0.336623
198,2852,2083177,2127,0.340099
199,2871,2082804,2121,0.341992
200,2898,2088942,2110,0.342779
201,2823,2072294,2107,0.347303
202,2904,2081451,2083,0.347426
203,2967,2096269,2089,0.346657
204,2792,2077341,2103,0.351487
205,2882,2089397,2151,0.351106
206,2937,2100576,2160,0.350979
207,2874,2093890,2154,0.353814
208,2942,2107244,2137,0.353283
209,2971,2118568,2129,0.353119
210,2829,2098631,2104,0.358178
211,3024,2123084,2105,0.355757
212,2834,2104328,2078,0.360641
213,2876,2104423,2088,0.362377
214,2874,2105568,2100,0.363865
215,2809,2091420,2104,0.368089
216,2860,2100994,2094,0.368139
217,2974,2124047,2125,0.365925
218,2799,2101947,2095,0.371432
219,2854,2102814,2105,0.372992
220,2839,2102389,2092,0.37485
221,2891,2113916,2097,0.374583
222,2905,2117165,2111,0.37572
223,2742,2092947,2077,0.381779
224,2869,2102313,2092,0.381684
225,2812,2097289,2115,0.38427
226,2892,2111933,2125,0.383258
227,2866,2113555,2128,0.384662
228,2852,2108222,2106,0.387269
229,2863,2113906,2114,0.387944
230,2804,2101897,2089,0.391818
231,2873,2109956,2112,0.391921
232,2886,2120615,2125,0.391679
233,2866,2118448,2150,0.393816
234,2845,2115226,2114,0.396117
235,2797,2104930,2122,0.399727
236,2824,2106911,2112,0.401071
237,2886,2116554,2113,0.400909
238,2812,2109269,2137,0.404021
239,2822,2106072,2154,0.406354
240,2701,2083438,2115,0.412473
241,2790,2092328,2124,0.4125
242,2804,2097788,2126,0.413075
243,2797,2098617,2083,0.41464
244,2807,2103080,2116,0.415414
245,2803,2103560,2145,0.417093
246,2867,2116547,2162,0.416209
247,2813,2110287,2128,0.41914
248,2835,2114402,2118,0.419955
249,2797,2105775,2112,0.423411
250,2717,2093508,2134,0.427648
251,2769,2100389,2132,0.427985
252,2839,2113569,2109,0.427049
253,2844,2119710,2125,0.427532
254,2797,2115056,2113,0.43012
255,2856,2123206,2179,0.43019
256,2764,2110030,2149,0.434696
257,2715,2098328,2149,0.438852
258,2818,2113468,2151,0.437459
259,2784,2108519,2120,0.440243
260,2859,2123087,2159,0.438893
261,2786,2119562,2145,0.441394
262,2729,2113373,2136,0.444328
263,2750,2113274,2126,0.445986
264,2716,2107990,2089,0.448875
265,2761,2112093,2103,0.449746
266,2853,2128278,2123,0.448025
267,2788,2125727,2121,0.450286
268,2777,2128052,2120,0.451413
269,2736,2120833,2105,0.454723
270,2809,2131411,2103,0.454099
271,2776,2128374,2128,0.456358
272,2792,2127921,2137,0.458083
273,2716,2118027,2118,0.461969
274,2690,2113606,2125,0.464594
275,2710,2112885,2142,0.466414
276,2838,2129065,2170,0.464594
277,2784,2129007,2145,0.466233
278,2774,2130896,2120,0.467439
279,2756,2130343,2150,0.469269
280,2803,2135405,2177,0.469883
281,2894,2149644,2200,0.468562
282,2865,2158404,2190,0.468283
283,2676,2130822,2163,0.476049
284,2768,2135215,2210,0.476701
285,2769,2139749,2183,0.477384
286,2784,2143974,2173,0.478096
287,2697,2128890,2201,0.483054
288,2740,2132177,2193,0.483968
289,2733,2132845,2148,0.485413
290,2754,2134453,2197,0.486731
291,2763,2138360,2207,0.487593
292,2689,2128064,2213,0.49162
293,2720,2129163,2165,0.493
294,2668,2118493,2165,0.497132
295,2699,2118989,2181,0.498734
296,2738,2128345,2215,0.498228
297,2755,2131762,2218,0.499083
298,2698,2125500,2224,0.502203
299,2713,2126930,2178,0.503529
