cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness
21101,737,1720,149,0.555593
21201,771,1786,160,0.543625
21301,762,1751,165,0.559367
21401,756,1772,166,0.555751
21501,739,1767,156,0.564026
21601,749,1844,156,0.540448
21701,765,1816,158,0.55108
21801,756,1778,159,0.5894
21901,740,1749,157,0.577709
22001,731,1765,165,0.571776
22101,746,1708,163,0.542894
22201,768,1830,161,0.539941
22301,666,1763,159,0.547108
22401,762,1747,164,0.523693
22501,748,1812,167,0.557398
22601,747,1750,163,0.545976
22701,709,1741,164,0.56085
22801,715,1800,175,0.558555
22901,730,1721,179,0.57351
23001,748,1790,174,0.567349
23101,770,1811,172,0.539132
23201,765,1815,174,0.567755
23301,773,1818,159,0.57897
23401,791,1804,175,0.56436
23501,707,1814,176,0.553832
23601,693,1757,175,0.527947
23701,728,1752,164,0.557739
23801,776,1828,181,0.573195
23901,742,1856,176,0.570157
24001,754,1811,160,0.586732
24101,749,1721,171,0.582046
24201,770,1900,161,0.536425
24301,735,1779,173,0.565811
24401,726,1727,171,0.56359
24501,739,1750,170,0.542633
24601,780,1806,175,0.567274
24701,742,1764,166,0.557936
24801,733,1801,172,0.561754
24901,742,1834,164,0.556626
25001,744,1860,166,0.537421
25101,811,1840,166,0.560206
25201,747,1758,170,0.575084
25301,775,1852,173,0.539213
25401,722,1826,175,0.544083
25501,745,1742,174,0.564853
25601,753,1833,179,0.551348
25701,740,1768,184,0.581657
25801,734,1828,174,0.546047
25901,748,1795,161,0.55257
26001,790,1812,185,0.568243
26101,818,1945,170,0.534
26201,750,1788,170,0.567823
26301,755,1872,185,0.562032
26401,741,1863,180,0.566471
26501,785,1864,188,0.58186
26601,789,1800,188,0.559321
26701,792,1852,187,0.553314
26801,768,1839,186,0.56248
26901,748,1882,184,0.56662
27001,794,1941,188,0.554209
27101,764,1862,191,0.56195
27201,745,1827,187,0.565442
27301,798,1879,189,0.536821
27401,761,1921,190,0.586916
27501,811,1825,191,0.552295
27601,761,1855,193,0.535446
27701,775,1896,184,0.566087
27801,751,1863,197,0.565826
27901,769,1915,192,0.549078
28001,750,1895,186,0.56708
28101,785,1874,193,0.542491
28201,734,1882,202,0.528344
28301,816,1861,199,0.548921
28401,792,1902,212,0.549101
28501,783,1855,196,0.558153
28601,796,1869,204,0.566955
28701,755,1803,210,0.559416
28801,783,1925,208,0.545769
28901,774,1840,199,0.550183
29001,771,1896,198,0.562326
29101,784,1898,204,0.581004
29201,776,1855,205,0.573318
29301,785,1888,202,0.576235
29401,776,1895,208,0.55895
29501,809,1902,195,0.569857
29601,769,1866,202,0.535806
29701,802,1924,200,0.554558
29801,801,1874,198,0.57199
29901,773,1851,210,0.549041
30001,818,1868,205,0.554709
30101,821,1953,215,0.556604
30201,767,1879,205,0.560148
30301,800,1882,213,0.563508
30401,801,1835,210,0.562205
30501,773,1947,216,0.549456
30601,738,1871,218,0.532282
30701,794,2009,211,0.54708
30801,820,1915,211,0.547686
30901,793,1962,199,0.536436
31001,779,1964,216,0.552082
31101,802,1927,210,0.576802
31201,751,1935,210,0.548417
31301,836,1963,225,0.563681
31401,791,1912,223,0.546348
31501,817,1920,235,0.585621
31601,798,1945,214,0.547464
31701,842,1884,222,0.571417
31801,790,1937,224,0.56493
31901,787,1993,222,0.558119
32001,792,1957,219,0.532323
32101,805,1892,206,0.558741
32201,809,1975,218,0.549389
32301,782,1885,235,0.55101
32401,816,1948,240,0.540772
32501,764,1960,220,0.563531
32601,805,1968,233,0.546349
32701,803,2026,242,0.55251
32801,792,1999,225,0.540076
32901,766,1933,223,0.564687
33001,793,1918,235,0.566515
33101,820,1969,229,0.580193
33201,813,1928,236,0.561949
33301,826,2025,230,0.592299
33401,818,2004,236,0.542492
33501,808,2017,236,0.552225
33601,780,1942,242,0.570308
33701,790,1968,250,0.566826
33801,848,1989,236,0.538871
33901,785,1965,235,0.567675
34001,812,1957,243,0.539514
34101,807,1912,239,0.580836
34201,837,2000,235,0.544421
34301,823,2002,236,0.543633
34401,827,1960,238,0.552641
34501,834,2013,237,0.55119
34601,813,2052,231,0.564131
34701,817,2042,235,0.549274
34801,798,1936,235,0.555099
34901,807,2037,243,0.557279
35001,796,1986,238,0.573418
35101,820,2045,234,0.571713
35201,844,2060,236,0.542636
35301,832,2064,240,0.557861
35401,792,1959,246,0.538194
35501,837,2053,238,0.553969
35601,820,1986,240,0.565139
35701,796,1913,239,0.555074
35801,833,1982,241,0.542385
35901,837,1990,240,0.552253
36001,822,1897,243,0.550157
36101,781,2010,231,0.531853
36201,823,2084,238,0.537725
36301,781,1978,251,0.564738
36401,784,1997,238,0.578151
36501,818,1948,243,0.556396
36601,837,2033,243,0.552553
36701,803,2071,239,0.555131
36801,833,2032,252,0.587887
36901,805,1935,241,0.558833
37001,811,1988,251,0.573298
37101,816,2031,258,0.570161
37201,766,1995,256,0.561166
37301,819,2054,251,0.541274
37401,803,2038,248,0.545533
37501,815,1993,258,0.553924
37601,809,2128,253,0.545329
37701,834,2048,254,0.568187
37801,804,2040,250,0.544302
37901,820,2020,253,0.572211
38001,851,2070,254,0.555482
38101,822,1984,256,0.549802
38201,861,2087,273,0.554596
38301,819,2048,259,0.542354
38401,844,2119,266,0.564412
38501,843,2068,268,0.57437
38601,786,1964,252,0.574518
38701,838,2061,244,0.550939
38801,844,2096,249,0.573948
38901,822,2029,251,0.559478
39001,863,2056,253,0.545519
39101,813,2084,254,0.531126
39201,839,2049,257,0.553549
39301,847,2088,265,0.567379
39401,836,2111,252,0.532264
39501,839,2118,273,0.56329
39601,825,2067,266,0.558954
39701,820,2073,250,0.539112
39801,834,2049,256,0.578177
39901,815,2059,263,0.567618
40001,833,2090,273,0.55703
40101,823,2014,276,0.569393
40201,830,2073,267,0.545095
40301,837,2130,263,0.543247
40401,857,2102,263,0.562404
40501,873,2039,268,0.564708
40601,847,2032,279,0.535128
40701,827,2029,294,0.572828
40801,822,2060,258,0.557307
40901,810,2008,266,0.547928
41001,801,2065,274,0.561356
41101,844,2047,267,0.568091
41201,874,2127,273,0.573097
41301,809,2096,255,0.553601
41401,827,2209,266,0.555975
41501,811,2139,266,0.552673
41601,853,2129,276,0.565834
41701,802,2109,270,0.542655
41801,827,2182,276,0.549307
41901,781,2137,264,0.546553
42001,847,2101,265,0.555717
42101,867,2025,254,0.548971
42201,786,2032,270,0.569142
42301,864,2072,260,0.555137
42401,814,2073,257,0.558342
42501,808,2031,259,0.5497
42601,818,2073,261,0.562927
42701,853,2106,262,0.569783
42801,812,2068,276,0.55227
42901,846,2116,274,0.563453
43001,824,2113,285,0.531367
43101,804,2132,275,0.537938
43201,827,2094,283,0.555479
43301,855,2143,277,0.556552
43401,817,2125,286,0.550912
43501,867,2168,280,0.545882
43601,846,2200,276,0.558461
43701,869,2183,280,0.542354
43801,827,2116,289,0.574457
43901,798,2157,287,0.547412
44001,850,2094,283,0.555365
44101,880,2154,282,0.568378
44201,868,2176,287,0.54044
44301,846,2140,289,0.554655
44401,866,2121,277,0.547225
44501,840,2124,284,0.547249
44601,840,2189,287,0.540876
44701,837,2179,291,0.557442
44801,816,2197,293,0.550038
44901,841,2128,284,0.547706
45001,864,2168,283,0.578594
45101,869,2233,300,0.55605
45201,857,2136,285,0.561282
45301,883,2159,297,0.543241
45401,823,2149,302,0.54369
45501,840,2148,297,0.542571
45601,832,2133,297,0.549955
45701,864,2091,295,0.549895
45801,845,2146,293,0.553813
45901,827,2156,297,0.539596
46001,856,2138,301,0.571935
46101,846,2190,281,0.568712
46201,846,2116,282,0.57061
46301,876,2162,299,0.54425
46401,849,2169,294,0.544607
46501,854,2185,299,0.546594
46601,840,2207,308,0.554778
46701,844,2170,304,0.545817
46801,833,2170,296,0.551083
46901,862,2165,299,0.572361
47001,827,2161,299,0.574701
47101,853,2195,296,0.539143
47201,876,2164,294,0.561689
47301,850,2168,292,0.544553
47401,834,2189,305,0.569172
47501,852,2208,304,0.547646
47601,870,2203,298,0.555863
47701,860,2190,292,0.578982
47801,853,2200,299,0.537617
47901,860,2237,286,0.564301
48001,834,2221,305,0.51968
48101,848,2193,290,0.590532
48201,878,2102,291,0.572448
48301,808,2142,302,0.536652
48401,870,2168,292,0.572526
48501,868,2191,312,0.572124
48601,879,2257,308,0.553218
48701,875,2173,303,0.53437
48801,896,2220,301,0.552513
48901,865,2175,308,0.563186
49001,882,2257,312,0.564523
49101,848,2253,304,0.541988
49201,884,2249,301,0.562667
49301,865,2288,296,0.528235
49401,857,2194,300,0.58209
49501,884,2274,310,0.538117
49601,883,2145,315,0.546279
49701,828,2134,296,0.564852
49801,881,2329,299,0.542951
49901,847,2298,311,0.565005
50001,830,2234,309,0.555681
50101,890,2288,330,0.58948
50201,854,2200,301,0.574679
50301,824,2190,305,0.558137
50401,856,2163,302,0.556249
50501,832,2175,306,0.557685
50601,911,2312,306,0.538853
50701,901,2284,299,0.564153
50801,881,2171,315,0.585653
50901,862,2290,314,0.552556
51001,916,2278,314,0.535387
51101,874,2224,309,0.567262
51201,847,2260,316,0.545156
51301,884,2206,314,0.547947
51401,853,2338,317,0.536564
51501,910,2262,309,0.537592
51601,884,2187,324,0.549528
51701,853,2186,314,0.553112
51801,876,2249,323,0.552325
51901,869,2251,325,0.570543
52001,917,2310,320,0.551204
52101,887,2220,311,0.566807
52201,873,2225,314,0.551766
52301,927,2325,319,0.540533
52401,881,2325,303,0.537908
52501,897,2317,324,0.562864
52601,832,2247,319,0.557596
52701,923,2290,313,0.545122
52801,875,2289,311,0.580041
52901,886,2290,335,0.563935
53001,890,2267,332,0.56689
53101,857,2296,330,0.547011
53201,845,2164,325,0.557689
53301,884,2327,326,0.534584
53401,825,2180,331,0.543416
53501,894,2298,336,0.563857
53601,876,2286,336,0.535628
53701,893,2267,335,0.598801
53801,905,2245,331,0.561696
53901,873,2286,333,0.548403
54001,910,2277,326,0.561654
54101,888,2311,331,0.543042
54201,872,2283,326,0.554695
54301,914,2299,329,0.54423
54401,887,2318,331,0.555037
54501,922,2269,337,0.58061
54601,913,2375,347,0.554594
54701,942,2274,341,0.594221
54801,950,2322,327,0.552189
54901,904,2320,337,0.540209
55001,888,2297,342,0.530611
55101,902,2230,323,0.542098
55201,914,2348,351,0.552373
55301,931,2374,342,0.564499
55401,915,2336,347,0.557049
55501,926,2324,366,0.550026
55601,937,2341,356,0.555664
55701,897,2354,347,0.532658
55801,898,2323,344,0.573456
55901,920,2353,338,0.549078
56001,896,2321,346,0.555473
56101,921,2351,345,0.549376
56201,906,2409,346,0.570735
56301,905,2391,348,0.553143
56401,925,2349,341,0.560553
56501,934,2403,333,0.581965
56601,959,2429,350,0.590828
56701,938,2434,358,0.573099
56801,962,2416,355,0.572223
56901,951,2480,343,0.536989
57001,904,2433,342,0.532097
57101,949,2351,347,0.556349
57201,973,2379,355,0.550873
57301,932,2340,348,0.577413
57401,952,2412,369,0.565964
57501,906,2339,359,0.576217
57601,908,2382,370,0.554457
57701,973,2432,352,0.533982
57801,913,2423,368,0.556095
57901,922,2357,350,0.564229
58001,973,2470,365,0.544196
58101,958,2448,347,0.571004
58201,920,2345,365,0.557325
58301,912,2416,364,0.540754
58401,977,2482,378,0.562515
58501,949,2519,359,0.556864
58601,967,2404,353,0.538775
58701,928,2394,368,0.543546
58801,992,2434,361,0.577492
58901,939,2531,357,0.551732
59001,922,2451,370,0.600184
59101,930,2399,361,0.563454
59201,909,2425,369,0.55802
59301,944,2430,362,0.545308
59401,942,2482,354,0.546844
59501,965,2484,368,0.563278
59601,945,2494,370,0.535486
59701,965,2451,378,0.558196
59801,984,2497,363,0.562051
59901,925,2436,370,0.562697
60001,988,2478,373,0.577409
60101,948,2443,368,0.542075
60201,934,2486,368,0.567588
60301,941,2420,368,0.56988
60401,976,2481,368,0.574209
60501,950,2425,373,0.570699
60601,956,2458,378,0.550943
60701,958,2537,378,0.531278
60801,994,2506,371,0.553958
60901,926,2460,378,0.544813
61001,941,2461,379,0.570391
61101,963,2481,381,0.564749
61201,958,2467,392,0.569459
61301,975,2510,391,0.563908
61401,966,2561,369,0.553776
61501,966,2654,375,0.532682
61601,1026,2687,377,0.540113
61701,953,2554,388,0.533897
61801,984,2523,372,0.552542
61901,1003,2549,372,0.590065
62001,928,2463,369,0.557185
62101,1019,2635,387,0.570897
62201,935,2558,373,0.563787
62301,976,2546,376,0.549992
62401,983,2523,382,0.571904
62501,968,2536,391,0.567478
62601,957,2467,379,0.565097
62701,960,2558,386,0.56045
62801,986,2559,387,0.543883
62901,988,2527,385,0.564536
63001,978,2538,401,0.546667
63101,970,2517,390,0.540373
63201,944,2520,384,0.572788
63301,1024,2534,389,0.568434
63401,966,2446,395,0.572181
63501,953,2538,397,0.536931
63601,1051,2693,403,0.562097
63701,1004,2568,384,0.559302
63801,971,2492,400,0.549461
63901,976,2591,399,0.565764
64001,985,2557,401,0.560334
64101,996,2518,396,0.557605
64201,1028,2584,397,0.544395
64301,984,2502,399,0.574369
64401,972,2570,397,0.568992
64501,981,2529,394,0.564573
64601,1001,2636,393,0.547849
64701,1007,2594,402,0.553781
64801,1030,2650,409,0.581408
64901,1020,2600,403,0.539295
65001,991,2615,414,0.571298
65101,981,2634,407,0.581864
65201,984,2564,408,0.579502
65301,996,2600,412,0.565939
65401,996,2526,414,0.565602
65501,1032,2600,401,0.54258
65601,1041,2567,406,0.545583
65701,1022,2530,406,0.541862
65801,994,2528,416,0.546979
65901,1020,2572,415,0.558204
66001,1027,2612,421,0.533964
66101,1025,2561,417,0.564195
66201,1040,2611,410,0.547302
66301,994,2545,415,0.567032
66401,1000,2542,417,0.567745
66501,1025,2673,400,0.546289
66601,983,2640,414,0.55925
66701,1015,2622,415,0.566455
66801,1019,2611,421,0.540349
66901,1068,2654,415,0.536845
67001,1019,2599,415,0.544558
67101,1061,2610,428,0.540025
67201,1002,2660,413,0.552813
67301,1012,2582,441,0.55479
67401,1007,2678,429,0.57356
67501,1006,2594,426,0.517799
67601,1029,2615,403,0.553613
67701,1031,2589,423,0.562046
67801,954,2575,426,0.534218
67901,1002,2630,426,0.562947
68001,999,2607,423,0.559491
68101,1001,2626,424,0.524401
68201,952,2576,410,0.554586
68301,1041,2606,423,0.572339
68401,1019,2625,429,0.565085
68501,1017,2666,415,0.568522
68601,1022,2578,425,0.541147
68701,1008,2598,427,0.570359
68801,1022,2585,432,0.560932
68901,1036,2619,421,0.583435
69001,1014,2599,413,0.552775
69101,1024,2626,426,0.526394
69201,1004,2632,436,0.562053
69301,1031,2627,416,0.555066
69401,1042,2702,436,0.571235
69501,1031,2634,431,0.557917
69601,1037,2669,432,0.559653
69701,1056,2605,427,0.547158
69801,1025,2639,443,0.552544
69901,1060,2739,431,0.561508
70001,1011,2617,429,0.556856
70101,1007,2633,438,0.565073
70201,1032,2681,434,0.561579
70301,1004,2620,425,0.535985
70401,1009,2611,438,0.566668
70501,1023,2601,442,0.579758
70601,1047,2670,439,0.553208
70701,1031,2679,431,0.548181
70801,1027,2638,444,0.558407
70901,1086,2712,430,0.533312
71001,1081,2646,444,0.551194
71101,1068,2730,444,0.560655
71201,1093,2655,440,0.544073
71301,1001,2655,449,0.554639
71401,1051,2638,450,0.554612
71501,1035,2650,450,0.566524
71601,1074,2723,465,0.538627
71701,1062,2729,457,0.561556
71801,1046,2808,457,0.565357
71901,1036,2678,468,0.548388
72001,1023,2628,455,0.571327
72101,1047,2678,443,0.531127
72201,1038,2696,447,0.560561
72301,1064,2757,448,0.56804
72401,1046,2781,447,0.55476
72501,1046,2690,442,0.557355
72601,1083,2716,451,0.551403
72701,1080,2697,449,0.55955
72801,1056,2742,441,0.548237
72901,1042,2740,453,0.564513
73001,1050,2761,461,0.549923
73101,1074,2798,460,0.554498
73201,1065,2744,473,0.573492
73301,1056,2717,455,0.543543
73401,1075,2720,468,0.552593
73501,1052,2722,464,0.561516
73601,1044,2708,465,0.565965
73701,1021,2679,466,0.564984
73801,1000,2640,467,0.552809
73901,1101,2752,476,0.567975
74001,1101,2871,465,0.553729
74101,1073,2730,476,0.549165
74201,1074,2751,459,0.556789
74301,1074,2761,465,0.555224
74401,1125,2809,467,0.559322
74501,1090,2858,467,0.552197
74601,1045,2757,482,0.546377
74701,1102,2777,474,0.549721
74801,1049,2762,478,0.584622
74901,1128,2915,482,0.535316
75001,1102,2774,465,0.540706
75101,1050,2825,478,0.536958
75201,1086,2801,479,0.56588
75301,1083,2748,477,0.563155
75401,1084,2808,475,0.550072
75501,1107,2803,476,0.566259
75601,1055,2774,490,0.587863
75701,1098,2885,494,0.574002
75801,1107,2865,486,0.568993
75901,1077,2684,485,0.541831
76001,1071,2780,486,0.571404
76101,1044,2835,476,0.542351
76201,1092,2782,485,0.545132
76301,1100,2887,496,0.562773
76401,1114,2893,502,0.541877
76501,1113,2850,500,0.548295
76601,1038,2886,498,0.557301
76701,1111,2890,508,0.550011
76801,1061,2820,491,0.548085
76901,1067,2902,502,0.54866
77001,1126,2928,502,0.543579
77101,1131,2927,485,0.537212
77201,1115,2867,494,0.560099
77301,1094,2885,499,0.540482
77401,1155,2884,490,0.550331
77501,1100,2811,498,0.532494
77601,1114,2905,490,0.555288
77701,1046,2873,493,0.545736
77801,1121,2907,496,0.550733
77901,1122,2874,496,0.551699
78001,1109,2891,495,0.552863
78101,1141,2869,498,0.592682
78201,1104,2888,507,0.556353
78301,1083,2905,498,0.551603
78401,1055,2839,490,0.577747
78501,1077,2879,496,0.543203
78601,1139,2874,488,0.544557
78701,1090,2795,510,0.558317
78801,1147,2904,515,0.584917
78901,1090,2878,518,0.577092
79001,1127,2925,516,0.554947
79101,1121,2969,514,0.55535
79201,1119,2998,509,0.550602
79301,1098,2807,506,0.574713
79401,1137,2997,508,0.563513
79501,1084,2818,510,0.554584
79601,1107,3014,513,0.54633
79701,1124,2848,517,0.571341
79801,1131,2961,514,0.54082
79901,1155,3006,505,0.544784
80001,1129,2989,515,0.540824
80101,1112,2945,528,0.542833
80201,1137,2942,505,0.562792
80301,1119,2936,508,0.555872
80401,1129,2989,512,0.561746
80501,1116,2918,507,0.524677
80601,1098,2879,493,0.545519
80701,1135,2965,501,0.53355
80801,1144,2959,529,0.550578
80901,1121,3025,510,0.533006
81001,1164,2985,507,0.535127
81101,1145,2895,527,0.563647
81201,1152,2952,518,0.538786
81301,1159,3020,524,0.570598
81401,1138,2961,514,0.551596
81501,1066,2917,504,0.568617
81601,1155,3033,516,0.586317
81701,1116,3037,520,0.549333
81801,1136,3003,533,0.55812
81901,1122,2992,520,0.553584
82001,1131,2980,512,0.558876
82101,1151,3051,522,0.576342
82201,1159,3017,509,0.564268
82301,1162,3023,522,0.543387
82401,1166,3079,542,0.559408
82501,1127,3061,530,0.552135
82601,1112,2935,522,0.566346
82701,1114,2947,538,0.551138
82801,1134,3015,526,0.563165
82901,1110,2955,536,0.55959
83001,1155,3058,530,0.548356
83101,1153,3137,528,0.55247
83201,1167,2913,530,0.56053
83301,1135,3056,521,0.567663
83401,1105,2928,535,0.564782
83501,1107,2836,521,0.562802
83601,1193,3076,525,0.570562
83701,1154,3059,517,0.550943
83801,1140,2981,531,0.564366
83901,1151,2945,535,0.560298
84001,1134,3049,535,0.551593
84101,1166,3062,542,0.549305
84201,1184,3040,535,0.559106
84301,1150,3062,547,0.548078
84401,1161,3029,537,0.549031
84501,1138,2989,540,0.551059
84601,1174,2978,538,0.550039
84701,1155,3034,548,0.571639
84801,1187,3074,554,0.558207
84901,1155,3098,540,0.547594
85001,1162,2958,539,0.556912
85101,1116,3044,537,0.559415
85201,1163,3051,539,0.576167
85301,1141,3054,546,0.559559
85401,1200,3085,541,0.549358
85501,1140,3052,535,0.546681
85601,1196,3043,535,0.578775
85701,1161,3004,554,0.558491
85801,1171,3125,568,0.530409
85901,1213,3097,566,0.559505
86001,1204,3075,546,0.571892
86101,1190,3192,542,0.551712
86201,1183,3075,541,0.545991
86301,1183,3140,546,0.568352
86401,1136,3060,544,0.557298
86501,1187,3098,554,0.548226
86601,1217,3120,559,0.529674
86701,1181,3022,569,0.573635
86801,1170,3062,552,0.55143
86901,1193,3081,569,0.567709
87001,1214,3141,558,0.576186
87101,1180,3166,551,0.538233
87201,1190,3158,574,0.559934
87301,1185,3114,569,0.571272
87401,1208,3081,578,0.57763
87501,1185,3180,566,0.563537
87601,1164,3199,568,0.554636
87701,1226,3087,566,0.563193
87801,1233,3205,575,0.527652
87901,1182,3057,569,0.553378
88001,1212,3116,567,0.54511
88101,1209,3100,561,0.562765
88201,1189,3204,569,0.551005
88301,1195,3127,553,0.561158
88401,1214,3129,565,0.569283
88501,1222,3188,564,0.566136
88601,1224,3087,584,0.563261
88701,1230,3055,570,0.563541
88801,1219,3134,586,0.572373
88901,1244,3217,568,0.551927
89001,1187,3151,583,0.56155
89101,1202,3249,582,0.569449
89201,1227,3185,576,0.566616
89301,1207,3109,582,0.547162
89401,1177,3234,581,0.547376
89501,1193,3158,571,0.557413
89601,1263,3255,579,0.544671
89701,1251,3229,591,0.560674
89801,1186,3181,588,0.564321
89901,1205,3313,604,0.560358
90001,1187,3039,578,0.560839
90101,1242,3153,574,0.545334
90201,1251,3185,572,0.56037
90301,1257,3252,572,0.547362
90401,1263,3272,562,0.550407
90501,1264,3375,586,0.562848
90601,1261,3269,602,0.565197
90701,1246,3391,597,0.551217
90801,1216,3219,593,0.560314
90901,1291,3244,585,0.572528
91001,1265,3295,608,0.544423
