cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
749,2158,1985723,2012,1.34918
750,2087,1975692,2022,1.35785
751,2097,1976244,1985,1.3592
752,2012,1964923,1985,1.3688
753,2018,1959302,1978,1.37469
754,2113,1971831,1975,1.36786
755,2119,1977848,1983,1.36542
756,2055,1966935,1971,1.37478
757,2066,1966828,1966,1.37673
758,1996,1954097,1933,1.38753
759,2116,1971894,1932,1.37691
760,2072,1969879,1954,1.37998
761,2094,1974248,1921,1.37875
762,2072,1971108,1937,1.38269
763,2079,1968445,1923,1.3865
764,2041,1963858,1932,1.3917
765,2055,1962916,1936,1.39423
766,2094,1967324,1958,1.39279
767,2081,1968885,1995,1.39336
768,2051,1962966,1968,1.3992
769,2085,1966941,1984,1.39802
770,2093,1967649,2011,1.39932
771,2042,1955280,1983,1.40996
772,2109,1965349,1945,1.40461
773,2096,1968784,1943,1.40391
774,2093,1970649,1949,1.40446
775,2061,1966562,1964,1.40928
776,2125,1976843,1961,1.40379
777,2063,1969235,1972,1.41109
778,2052,1964329,1939,1.41629
779,2027,1961059,1953,1.42042
780,2001,1951680,1944,1.42903
781,2058,1960585,1931,1.42434
782,1999,1953223,1941,1.4314
783,2042,1956754,1948,1.43062
784,1984,1947311,1936,1.43966
785,2064,1955493,1967,1.43539
