cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,568,0,6.25
3,32,2907,0,2.49398
4,128,12162,5,0.895399
5,512,49206,43,0.295674
6,2048,195702,190,0.0927193
7,3240,400372,398,0.054308
8,3290,531267,519,0.0477454
9,3264,623374,577,0.0464907
10,3228,696706,654,0.0467352
11,3220,760571,750,0.0475845
12,3201,811996,790,0.0489642
13,3268,872495,845,0.0496596
14,3275,920899,870,0.050937
15,3281,963431,883,0.0524407
16,3177,991239,914,0.0546303
17,3351,1045761,979,0.0552181
18,3228,1070283,998,0.0573245
19,3194,1093747,1016,0.0593904
20,3229,1121256,1051,0.0611359
21,3235,1148460,1076,0.0628155
22,3193,1168959,1087,0.0647353
23,3278,1203855,1156,0.065886
24,3327,1238533,1169,0.0669456
25,3248,1251912,1147,0.0691261
26,3220,1269211,1182,0.0709865
27,3243,1287903,1193,0.0727776
28,3241,1307272,1262,0.0744118
29,3197,1316504,1263,0.0766506
30,3198,1329826,1260,0.0785553
31,3281,1357275,1295,0.0796243
32,3260,1377306,1345,0.0810865
33,3145,1373636,1337,0.0839368
34,3222,1394175,1352,0.0853261
35,3165,1402460,1314,0.087347
36,3301,1434298,1346,0.087905
37,3198,1438786,1379,0.0901467
38,3269,1461488,1401,0.0911985
39,3254,1477115,1435,0.0925926
40,3148,1474974,1409,0.0951663
41,3228,1496705,1445,0.0961625
42,3180,1504213,1465,0.0980598
43,3203,1516893,1468,0.0995721
44,3234,1530949,1502,0.101003
45,3175,1536750,1524,0.102944
46,3171,1544872,1546,0.104719
47,3194,1556183,1551,0.106294
48,3169,1560891,1506,0.108279
49,3203,1571445,1546,0.10987
50,3244,1591164,1570,0.110735
51,3147,1587435,1553,0.113254
52,3214,1600985,1536,0.114519
53,3154,1603667,1531,0.116578
54,3119,1606352,1523,0.11864
55,3202,1627905,1544,0.119266
56,3249,1644392,1571,0.120241
57,3206,1649959,1554,0.121978
58,3210,1662546,1587,0.123194
59,3212,1672220,1619,0.12461
60,3194,1679995,1629,0.126186
61,3190,1683470,1607,0.128019
62,3235,1700696,1655,0.128804
63,3120,1696066,1648,0.131332
64,3158,1704523,1634,0.132778
65,3121,1705141,1626,0.134834
66,3290,1737674,1650,0.134378
67,3095,1719813,1675,0.137864
68,3185,1733992,1687,0.138832
69,3086,1721608,1699,0.141951
70,3174,1734223,1742,0.143025
71,3174,1745083,1771,0.144208
72,3214,1759423,1773,0.145094
73,3107,1753618,1730,0.147579
74,3225,1775984,1740,0.147738
75,3182,1780283,1744,0.149402
76,3216,1793041,1777,0.150363
77,3221,1804979,1798,0.151351
78,3128,1790318,1798,0.15458
79,3074,1779638,1785,0.157504
80,3161,1796707,1788,0.157974
81,3179,1803628,1803,0.15935
82,3208,1818409,1791,0.159976
83,3213,1828680,1795,0.161069
84,3132,1823467,1755,0.163436
85,3117,1821223,1762,0.165589
86,3070,1818746,1786,0.167846
87,3124,1826371,1795,0.169064
88,3099,1824997,1788,0.171151
89,3154,1836057,1833,0.17214
90,3127,1839241,1841,0.173717
91,3147,1849357,1858,0.174758
92,3200,1862425,1896,0.175466
93,3135,1860822,1894,0.17757
94,3087,1854887,1874,0.18007
95,3049,1846049,1815,0.182952
96,3152,1866018,1830,0.182953
97,3124,1867658,1867,0.184669
98,3054,1859517,1856,0.187443
99,3090,1866228,1843,0.18872
100,3136,1880446,1872,0.189209
101,3140,1889362,1895,0.190232
102,3152,1897694,1922,0.191275
103,3143,1899459,1883,0.192918
104,3031,1888906,1876,0.195812
105,3147,1906552,1953,0.195889
106,3132,1914973,1945,0.196893
107,3000,1901338,1934,0.200193
108,3153,1923854,1965,0.199753
109,3039,1909271,1936,0.203128
110,3124,1924563,1927,0.203375
111,3176,1940127,1932,0.203681
112,3114,1936530,1949,0.205911
113,3109,1939385,1945,0.207441
114,3120,1946209,1938,0.208518
115,3110,1948287,1909,0.210117
116,3035,1936029,1928,0.213368
117,3132,1951686,1963,0.213454
118,3072,1949503,1984,0.215533
119,3113,1954587,1989,0.21681
120,3071,1954158,2000,0.218725
121,3118,1966745,2031,0.219158
122,3100,1968751,2031,0.220742
123,3059,1965112,2033,0.222952
124,3066,1967295,2019,0.224653
125,3134,1974698,1989,0.225593
126,3111,1983848,2033,0.226425
127,3013,1971316,2010,0.229739
128,3073,1977906,2029,0.230754
129,3086,1983840,2039,0.23185
130,2986,1971032,2028,0.235206
131,3074,1982131,2036,0.235699
132,2988,1971076,2002,0.238851
133,3005,1973368,2006,0.24041
134,2986,1971502,1991,0.242455
135,3036,1983313,1985,0.242843
136,3001,1980010,2015,0.245037
137,3044,1990050,2039,0.245647
138,3030,1991379,2008,0.247226
139,3079,2000921,2038,0.2478
140,2988,1989710,2024,0.250923
141,2994,1991984,2015,0.252361
142,2990,1992510,2021,0.254045
143,3046,2007690,2014,0.253857
144,3088,2017413,2017,0.25435
145,3005,2007271,1978,0.257443
146,3104,2023118,2012,0.257173
147,2945,2003290,1997,0.261551
148,3045,2016792,1998,0.261499
149,3117,2037535,2051,0.260612
150,3005,2027747,2048,0.263634
151,2968,2019837,2012,0.266398
152,3067,2033629,2020,0.26624
153,3064,2041831,2052,0.266889
154,2906,2021381,2011,0.27128
155,3075,2043408,2039,0.27007
156,2985,2035610,2022,0.272918
157,3027,2039544,2045,0.274146
158,3016,2043430,2053,0.275421
159,3048,2050309,2054,0.276313
160,3001,2047748,2062,0.278361
161,3000,2050309,2038,0.279755
162,3029,2056112,2068,0.280751
163,2937,2046026,2008,0.283911
164,2943,2044554,1998,0.285967
165,3001,2055576,2035,0.286172
166,2988,2054459,2034,0.287995
167,3002,2058807,2024,0.289103
168,3039,2070413,2023,0.28926
169,2966,2064037,2001,0.291856
170,3026,2073566,1997,0.292198
171,2880,2054499,1969,0.296748
172,2952,2059128,2008,0.297776
173,3042,2073072,2016,0.297558
174,2978,2071870,2023,0.299419
175,2925,2060497,2027,0.302765
176,3026,2077360,2040,0.301925
177,2999,2076515,2041,0.303801
178,3003,2080635,2044,0.30484
179,2932,2071196,2066,0.307968
180,3021,2081757,2066,0.308175
181,2934,2077250,2053,0.310537
182,2843,2055687,2037,0.31555
183,3054,2086555,2068,0.31258
184,3010,2087025,2057,0.314262
185,2927,2079626,2045,0.31717
186,2964,2082291,2033,0.318483
187,2992,2089961,2054,0.319042
188,2968,2090268,2073,0.320707
189,2985,2096175,2101,0.321425
190,2927,2087644,2075,0.324495
191,2880,2077042,2082,0.3279
192,2938,2081549,2140,0.328833
193,2853,2069379,2117,0.332519
194,2897,2077642,2124,0.332953
195,2850,2067714,2087,0.3362
196,2931,2081168,2115,0.335686
197,2918,2083733,2126,0.33688
198,2915,2089185,2125,0.337689
199,2898,2087460,2087,0.339687
200,2936,2092257,2090,0.340628
201,2868,2085654,2073,0.343396
202,2954,2098137,2099,0.343017
203,2912,2097799,2093,0.344808
204,2892,2097673,2107,0.346583
205,2936,2105004,2134,0.34704
206,2929,2105315,2102,0.348727
207,2888,2104231,2085,0.350599
208,2969,2114828,2066,0.350527
209,2848,2102899,2065,0.354363
210,2872,2104713,2087,0.355754
211,2901,2110590,2092,0.356491
212,2907,2114009,2081,0.357636
213,2884,2108712,2072,0.36021
214,2888,2108046,2089,0.362048
215,2968,2121002,2118,0.361489
216,2876,2110759,2113,0.364891
217,2889,2112222,2079,0.366394
218,2916,2122386,2113,0.366167
219,2888,2120683,2127,0.368139
220,2897,2123067,2128,0.369457
221,2919,2124414,2132,0.370835
222,2936,2130723,2107,0.371437
223,2809,2110470,2112,0.376713
224,2912,2126306,2137,0.375587
225,2732,2099987,2096,0.382023
226,2895,2119543,2111,0.380206
227,2861,2116492,2088,0.382462
228,2859,2120629,2123,0.383467
229,2962,2139089,2125,0.381848
230,2856,2128194,2122,0.385449
231,2845,2124325,2085,0.387748
232,2870,2129069,2088,0.388563
