cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,597,0,6.25
3,32,2977,5,2.54871
4,128,12275,17,0.915192
5,512,48941,51,0.303548
6,2048,195964,182,0.0941005
7,3407,416387,410,0.052927
8,3430,551058,540,0.0464592
9,3301,637870,641,0.0458118
10,3285,712409,702,0.0460215
11,3262,774161,775,0.0469675
12,3251,827888,815,0.0482805
13,3279,879137,894,0.0495598
14,3326,931404,971,0.0506329
15,3289,973479,1023,0.0521255
16,3237,1002721,1011,0.0541821
17,3333,1049372,1021,0.0551917
18,3284,1079174,1058,0.0570089
19,3311,1112205,1118,0.0585867
20,3243,1131737,1176,0.0607381
21,3163,1141682,1216,0.063382
22,3217,1166719,1237,0.0651024
23,3198,1189016,1244,0.0669181
24,3218,1211783,1287,0.0686447
25,3226,1235399,1273,0.0702429
26,3217,1258610,1259,0.0718144
27,3242,1283623,1332,0.073188
28,3267,1308721,1330,0.0745213
29,3296,1335550,1356,0.0756665
30,3158,1336985,1352,0.0782322
31,3249,1361420,1389,0.0794106
32,3193,1368933,1393,0.0816073
33,3222,1386455,1392,0.0831301
34,3166,1396680,1413,0.0851187
35,3294,1425306,1456,0.0859435
36,3214,1434223,1473,0.0878877
37,3185,1439768,1512,0.0900387
38,3203,1450937,1518,0.0918561
39,3191,1465945,1525,0.0933578
40,3236,1490084,1531,0.0942944
41,3217,1499268,1562,0.0961272
42,3216,1505549,1591,0.0981265
43,3248,1520400,1624,0.099509
44,3245,1532191,1629,0.101094
45,3124,1525537,1632,0.10387
46,3193,1540051,1630,0.105228
47,3291,1566638,1635,0.105757
48,3167,1562605,1603,0.108299
49,3215,1572748,1657,0.109897
50,3089,1563363,1672,0.112873
51,3159,1578349,1669,0.114096
52,3238,1601261,1679,0.114634
53,3120,1601864,1675,0.116833
54,3200,1621231,1673,0.117621
55,3113,1615713,1697,0.120198
56,3279,1649427,1698,0.11994
57,3164,1646396,1682,0.122327
58,3228,1662937,1678,0.123271
59,3125,1658703,1646,0.12573
60,3188,1674900,1654,0.126644
61,3049,1659856,1644,0.130006
62,3167,1681280,1654,0.130501
63,3268,1704905,1723,0.130747
64,3213,1710210,1691,0.132408
65,3142,1707558,1715,0.134732
66,3093,1706588,1706,0.136965
67,3245,1735927,1772,0.136694
68,3155,1733658,1745,0.138966
69,3173,1739399,1718,0.14051
70,3125,1740471,1744,0.142497
71,3163,1750425,1767,0.143728
72,3135,1753543,1759,0.145504
73,3225,1767089,1756,0.146411
74,3171,1768811,1799,0.148272
75,3086,1759544,1807,0.151148
76,3160,1773106,1840,0.152046
77,3158,1782715,1876,0.153263
78,3218,1796377,1850,0.154069
79,3136,1792254,1842,0.156439
80,3195,1808254,1858,0.157029
81,3148,1810499,1855,0.158758
82,3106,1810076,1829,0.16079
83,3132,1815589,1857,0.162281
84,3152,1820001,1870,0.163922
85,3159,1826060,1873,0.165336
86,3086,1819635,1873,0.167867
87,3118,1828832,1863,0.169041
88,3114,1831919,1866,0.170696
89,2985,1813814,1835,0.174481
90,3106,1828171,1821,0.175154
91,3076,1831781,1845,0.176749
92,3028,1825403,1849,0.179329
93,3126,1841102,1837,0.179733
94,3101,1845120,1858,0.181287
95,3103,1851402,1853,0.182619
96,3141,1864535,1868,0.183324
97,3087,1866298,1897,0.185065
98,3122,1873599,1906,0.18626
99,3141,1883464,1907,0.187251
100,3104,1886663,1895,0.188875
101,3104,1888863,1882,0.190596
102,3105,1893242,1891,0.192078
103,3150,1907576,1891,0.192493
104,3182,1923031,1910,0.192759
105,3021,1899571,1915,0.197037
106,3084,1902725,1936,0.198605
107,3006,1896223,1946,0.201183
108,2999,1893700,1907,0.203347
109,3095,1909091,1921,0.203544
110,3053,1910594,1952,0.205227
111,3091,1921292,1934,0.205944
112,2987,1910978,1941,0.208922
113,3085,1923718,1962,0.209324
114,3015,1914546,1935,0.212203
115,3124,1932389,1972,0.212095
116,3080,1936258,1950,0.213513
117,2991,1927286,1922,0.216239
118,3057,1934425,1975,0.217315
119,3092,1942430,1987,0.218209
120,3052,1936456,2020,0.220702
121,3079,1948349,1996,0.221195
122,2984,1938157,1972,0.224223
123,3117,1959601,1999,0.223581
124,3067,1958185,1995,0.225599
125,3014,1954780,1986,0.227759
126,3100,1966676,1998,0.228193
127,2984,1953242,2008,0.231575
128,3035,1960034,1986,0.232647
129,3066,1966701,2015,0.233596
130,3097,1977691,2013,0.234111
131,3026,1972811,1993,0.236398
132,2992,1967316,1998,0.238934
133,2994,1967032,2002,0.240733
134,3018,1974987,2009,0.241604
135,2998,1970881,2002,0.243945
136,3023,1976427,1983,0.245001
137,3012,1981957,1995,0.246064
138,3091,1996992,2027,0.246006
139,3047,1997275,2031,0.247775
140,2986,1988631,2004,0.250658
141,2949,1978390,1996,0.253807
142,3017,1989035,2019,0.254294
143,3015,1991606,1997,0.255716
144,2913,1980693,1971,0.258931
145,3006,1992300,1983,0.259265
146,3024,1999593,2003,0.260142
147,2958,1992152,1981,0.262874
148,2944,1989408,1992,0.26497
149,3017,2000739,1982,0.265305
150,2904,1989982,2002,0.268548
151,2927,1995634,1975,0.269686
152,3049,2015333,2023,0.268836
153,2967,2010978,2044,0.27119
154,2890,1996492,2017,0.27487
155,3056,2022183,2051,0.273156
156,2919,2008277,2009,0.27684
157,2979,2017737,2028,0.277369
158,2980,2021483,2026,0.278636
159,2990,2028105,2053,0.279523
160,2871,2008956,2048,0.283926
161,2960,2021873,2071,0.283915
162,3056,2043115,2070,0.282675
163,2986,2039976,2061,0.284836
164,2982,2041346,2098,0.28643
