cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,585,0,6.25
3,32,2848,2,2.57527
4,128,12154,11,0.895571
5,512,48553,54,0.297703
6,2048,195230,199,0.0922422
22,3242,1176369,1263,0.0639653
11,3201,766562,741,0.0466007
7,3269,402450,397,0.0536615
12,3306,831771,788,0.0472498
8,3339,537193,531,0.0469458
13,3310,882546,826,0.0485877
9,3230,623448,614,0.0462458
23,3262,1199962,1294,0.0657274
10,3310,708291,712,0.0457882
14,3254,921302,885,0.0504939
11,3219,762355,760,0.0472617
12,3242,819964,825,0.0483133
15,3252,960055,933,0.0521718
13,3247,868820,889,0.0497324
24,3306,1228615,1324,0.0670938
16,3173,987371,921,0.0543478
14,3178,906676,922,0.0516511
25,3236,1244808,1308,0.0691079
17,3316,1036157,988,0.0551963
15,3248,954298,952,0.0528313
26,3203,1261378,1379,0.0710783
18,3217,1059350,1030,0.0573832
16,3324,1006061,985,0.0536964
19,3323,1103376,1080,0.0583317
17,3303,1042793,1057,0.055242
20,3218,1119954,1083,0.0606236
18,3244,1068995,1088,0.0572482
27,3082,1258507,1367,0.0740744
21,3258,1150826,1092,0.0621631
19,3172,1088909,1084,0.0595519
22,3218,1169468,1137,0.0642291
28,3278,1296445,1357,0.074604
20,3226,1118319,1152,0.0612007
23,3219,1191254,1153,0.0660551
21,3247,1146612,1182,0.0627929
29,3144,1299191,1370,0.0772214
22,3261,1175834,1176,0.0643173
24,3274,1223377,1181,0.0672934
30,3298,1337617,1401,0.077698
23,3260,1203851,1192,0.0658138
25,3304,1249469,1188,0.0687746
24,3292,1231164,1200,0.0672961
26,3259,1267992,1227,0.0706389
31,3267,1356935,1436,0.0792225
27,3271,1292265,1268,0.072061
25,3292,1255547,1243,0.0688344
28,3168,1292700,1252,0.0748826
26,3231,1267971,1266,0.0710376
32,3250,1371335,1463,0.0809449
29,3213,1317996,1265,0.0762095
27,3233,1285105,1303,0.0728929
28,3242,1305466,1323,0.0745073
33,3234,1385875,1447,0.0826704
30,3186,1327345,1265,0.0783852
34,3243,1405213,1461,0.0841069
29,3209,1316868,1282,0.0765887
31,3355,1365933,1333,0.0787587
30,3245,1336761,1305,0.0780616
35,3265,1422486,1481,0.0856482
31,3257,1356795,1318,0.0795591
36,3234,1434535,1493,0.0874936
37,3251,1446875,1491,0.0892231
38,3249,1462132,1531,0.0907008
39,3169,1464092,1488,0.0930819
