cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,599,0,6.25
3,32,2901,4,2.57777
4,128,11948,14,0.925462
5,512,48778,57,0.299984
6,2048,195784,201,0.0931024
7,3305,407184,438,0.0536443
8,3292,533400,567,0.047726
9,3309,633649,695,0.0458571
10,3276,705984,743,0.0462209
11,3266,771180,803,0.0469569
12,3359,838554,838,0.0474483
13,3240,878095,903,0.0493859
14,3255,922229,918,0.0508871
15,3247,964657,978,0.0523925
16,3270,1005094,1013,0.0538648
17,3284,1041664,1069,0.0554305
18,3209,1064497,1074,0.0576535
19,3291,1102547,1138,0.0589563
20,3290,1137118,1194,0.0603397
21,3238,1155397,1173,0.0624751
22,3272,1185563,1192,0.0639189
23,3220,1200304,1231,0.0661154
24,3267,1229663,1255,0.0675006
25,3241,1251335,1269,0.0692328
26,3197,1263850,1298,0.0713331
27,3327,1297432,1338,0.0722348
28,3197,1301039,1349,0.0748327
29,3241,1322839,1344,0.0763264
30,3200,1336932,1358,0.0782129
31,3184,1349674,1370,0.0801373
32,3295,1378024,1393,0.0811073
33,3220,1387346,1389,0.0831139
34,3119,1386893,1352,0.0857239
35,3261,1415901,1384,0.0865118
36,3310,1444734,1403,0.0872617
37,3169,1438790,1433,0.0901446
38,3165,1449768,1465,0.0919518
39,3223,1469688,1456,0.0930894
40,3316,1499757,1531,0.0936178
41,3110,1485681,1473,0.0968789
42,3189,1500894,1485,0.098304
43,3165,1506938,1505,0.100259
44,3154,1512546,1508,0.102297
45,3262,1540734,1558,0.102715
46,3182,1544439,1588,0.104842
47,3226,1558035,1587,0.106234
48,3158,1561608,1605,0.108263
49,3178,1572368,1618,0.109804
50,3187,1583887,1615,0.111278
51,3223,1596406,1626,0.112695
52,3191,1604693,1584,0.114308
53,3202,1617703,1644,0.115613
54,3202,1624472,1673,0.117344
55,3165,1627159,1674,0.11941
56,3118,1623936,1659,0.121848
57,3137,1632555,1633,0.12339
58,3132,1636208,1687,0.125328
59,3158,1650995,1696,0.12647
60,3176,1663039,1712,0.127757
61,3251,1683029,1737,0.128421
62,3140,1675672,1731,0.131132
63,3184,1687522,1715,0.132319
64,3168,1694712,1774,0.133894
65,3137,1699113,1751,0.135625
66,3181,1710561,1760,0.136832
67,3149,1714365,1777,0.138637
68,3153,1718642,1794,0.140421
69,3185,1734428,1784,0.14121
70,3088,1729237,1758,0.143754
71,3178,1744253,1788,0.14456
72,3231,1761321,1790,0.145195
73,3113,1755523,1802,0.147649
74,3167,1766768,1834,0.148767
75,3129,1766844,1853,0.150805
76,3206,1782101,1894,0.151529
77,3085,1768984,1863,0.154694
78,3106,1776094,1827,0.156119
79,3061,1770960,1798,0.158465
80,3198,1795029,1821,0.158424
81,3136,1797094,1828,0.160261
82,3190,1810413,1863,0.161106
83,3176,1816117,1877,0.162585
84,3006,1791614,1883,0.1668
85,3115,1807363,1880,0.1673
86,3150,1817823,1927,0.168281
87,3128,1823901,1894,0.169683
88,3100,1824239,1916,0.171593
89,3097,1829069,1921,0.173089
90,3140,1841941,1925,0.173878
91,3108,1845051,1924,0.175537
92,3168,1861387,1936,0.175941
93,3131,1863934,1918,0.177614
94,3113,1864537,1901,0.179502
95,3149,1877899,1902,0.180105
96,3099,1872133,1918,0.182623
97,3133,1879710,1937,0.18378
98,2996,1859952,1903,0.187714
99,3066,1869523,1893,0.188563
100,3019,1866203,1882,0.190875
101,3052,1872118,1880,0.192157
102,3049,1877371,1892,0.193522
103,3056,1876634,1894,0.195528
104,3107,1893293,1905,0.195658
105,3036,1886664,1883,0.198326
106,3163,1904347,1922,0.198367
107,3191,1919582,1948,0.198713
108,3074,1913420,1928,0.201251
109,3042,1905097,1933,0.20401
110,3105,1917166,1947,0.204639
111,3073,1916141,1954,0.206653
112,3045,1916779,1994,0.208469
113,3132,1932646,1983,0.208574
114,3164,1945596,1959,0.209076
115,3051,1935196,1954,0.212079
116,3156,1950095,1940,0.212343
117,2972,1929224,1953,0.216497
118,3090,1940339,1942,0.217133
119,3081,1946515,1944,0.218326
120,3092,1953159,1983,0.219532
121,3103,1961709,1953,0.220347
122,2991,1944999,1961,0.224092
123,3226,1977044,2013,0.222232
124,3055,1965004,1993,0.225403
125,3002,1954786,1970,0.228387
126,3009,1958375,1933,0.229888
127,3103,1975594,1973,0.229674
128,3074,1980147,2007,0.230918
129,3123,1991806,1974,0.231343
130,3043,1986647,1953,0.233747
131,3001,1980717,1929,0.236291
132,2970,1977735,1982,0.238466
133,3079,1990664,1985,0.23866
134,3041,1994859,2002,0.239961
135,2976,1988451,1989,0.242555
136,3005,1992138,1970,0.243841
137,2954,1985624,1967,0.246459
138,3082,2002916,1966,0.246141
139,2966,1989049,1968,0.249582
140,3047,1999583,2017,0.250094
141,3046,2004897,2004,0.251245
142,3011,2004221,1999,0.253122
143,2994,2006427,2006,0.254604
144,2977,2001255,1998,0.256967
145,2975,2001833,2012,0.258698
146,3036,2014349,2037,0.258855
147,3068,2029229,2063,0.258667
148,3089,2037426,2088,0.259425
149,2962,2021561,2071,0.263115
150,3005,2026168,2089,0.264289
151,2935,2022032,2089,0.266609
152,3010,2031145,2080,0.267192
153,3115,2051167,2100,0.266246
154,3083,2055483,2129,0.267394
155,3076,2060325,2092,0.268602
156,3003,2053510,2118,0.271124
157,2993,2045551,2110,0.273932
158,3057,2059190,2103,0.273885
159,2978,2051398,2064,0.276678
160,2924,2037934,2093,0.280272
161,2996,2050409,2126,0.280365
162,3024,2055129,2121,0.281506
163,2972,2049956,2107,0.28399
164,2973,2048384,2089,0.285957
165,2887,2036854,2055,0.289344
166,2901,2038214,2091,0.29092
167,2986,2048741,2107,0.291115
168,3013,2054876,2080,0.292002
169,3040,2064770,2145,0.292412
170,2981,2061410,2134,0.294667
171,2944,2054451,2129,0.297442
172,2959,2057128,2129,0.298723
173,3022,2067033,2134,0.299048
174,2889,2054585,2122,0.302524
175,2882,2050564,2115,0.30489
176,2925,2054531,2123,0.306018
177,2971,2062447,2136,0.306658
178,2951,2061617,2141,0.308465
179,2999,2070413,2145,0.308903
180,2964,2072454,2142,0.310379
181,2946,2070674,2135,0.312482
182,2945,2071382,2113,0.314031
183,2916,2069545,2120,0.315967
184,2928,2075216,2124,0.316831
185,3012,2086509,2128,0.316813
186,2912,2075791,2109,0.32013
187,2919,2074514,2119,0.322084
188,2923,2076767,2115,0.323478
189,2941,2083127,2112,0.324319
190,2965,2085387,2116,0.325687
191,2938,2081441,2099,0.327985
192,2994,2093569,2094,0.327819
193,2876,2080893,2082,0.331557
194,2829,2074451,2041,0.334331
195,2891,2080750,2041,0.335026
196,2938,2082814,2083,0.336464
197,2978,2098668,2102,0.33559
198,2978,2105864,2133,0.336011
199,2872,2089920,2148,0.340278
200,2926,2097592,2172,0.340693
201,2924,2099782,2159,0.342111
202,2877,2093959,2146,0.344735
203,3043,2117425,2160,0.342623
204,2904,2107472,2120,0.345858
205,2916,2108547,2136,0.3475
206,2929,2109133,2159,0.349104
207,3012,2123192,2173,0.348514
208,2854,2107955,2159,0.352724
209,2940,2115144,2182,0.353339
210,2927,2115985,2179,0.354914
211,3001,2128120,2153,0.354683
212,2948,2124832,2200,0.356975
213,2975,2127301,2176,0.358237
214,2935,2124664,2181,0.360352
215,2901,2120598,2169,0.362785
216,2875,2117381,2157,0.364973
217,2986,2134396,2152,0.363763
218,2858,2119977,2118,0.367877
219,2797,2107488,2099,0.371784
220,2883,2116585,2118,0.371873
221,2881,2117886,2116,0.373368
222,2881,2119894,2117,0.374758
223,2884,2123827,2127,0.375802
224,2804,2111302,2082,0.379735
