cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
1,2,0,0,0.0
2,8,575,4,6.25
3,32,2879,6,2.48024
4,128,11877,15,0.897053
5,512,48547,48,0.293761
6,2048,195479,195,0.0913594
7,3357,409887,417,0.0523005
8,3314,537469,558,0.046553
9,3274,630715,630,0.0453401
10,3287,708877,705,0.0454535
11,3222,764352,744,0.0468467
12,3261,824706,821,0.0477651
13,3306,884945,875,0.0485966
14,3343,937157,933,0.0497176
15,3290,976089,990,0.0514199
16,3340,1022618,1013,0.0525805
17,3220,1042336,1045,0.0550737
18,3307,1081607,1073,0.0564296
19,3297,1111104,1116,0.0581707
20,3216,1124408,1130,0.0606907
21,3222,1147093,1148,0.062635
22,3368,1194735,1186,0.0631794
23,3213,1204335,1198,0.0656818
24,3174,1217344,1224,0.0679437
25,3240,1246447,1295,0.0692059
26,3284,1273330,1329,0.0705512
27,3263,1292732,1308,0.0723025
28,3219,1307519,1290,0.074248
29,3186,1319362,1317,0.0763182
30,3217,1336550,1313,0.0780293
31,3215,1356683,1307,0.0795301
32,3200,1366120,1318,0.0815847
33,3355,1407486,1346,0.0817461
34,3133,1392656,1341,0.0852275
35,3343,1435751,1390,0.0851909
36,3288,1450338,1394,0.0867864
37,3224,1455277,1392,0.0889408
38,3241,1469134,1438,0.0905204
39,3240,1483200,1425,0.0920975
40,3273,1501349,1466,0.0934065
41,3324,1525007,1494,0.0943022
42,3320,1539870,1527,0.0956594
43,3213,1534419,1508,0.0983849
44,3207,1541156,1526,0.100273
45,3265,1559369,1520,0.101415
46,3246,1569939,1558,0.103037
47,3285,1583672,1528,0.104414
48,3255,1592339,1535,0.106091
49,3231,1600328,1545,0.107787
50,3210,1604813,1565,0.109769
51,3340,1634472,1617,0.110005
52,3269,1640047,1636,0.11181
53,3215,1639065,1612,0.11407
54,3208,1644381,1612,0.115874
55,3197,1650975,1610,0.117589
56,3142,1651347,1622,0.119705
57,3177,1655595,1626,0.121572
58,3126,1653658,1640,0.123953
59,3215,1674739,1660,0.124583
60,3206,1679556,1655,0.126357
61,3196,1689770,1655,0.127668
62,3188,1697609,1677,0.129222
63,3125,1688651,1682,0.132033
64,3194,1703678,1682,0.133035
65,3187,1713134,1671,0.134368
66,3178,1719523,1660,0.135934
67,3114,1713763,1648,0.138474
68,3160,1725656,1673,0.139573
69,3156,1733854,1665,0.14105
70,3191,1747145,1646,0.142059
71,3210,1759325,1690,0.143072
72,3147,1760910,1708,0.145014
73,3193,1767554,1727,0.146494
74,3161,1765626,1702,0.148672
