cycle,Population_size,Deleterious_muts,Beneficial_muts,Pct_del_destined_fix
187,2931,2075796,1998,0.322218
188,2918,2072500,2026,0.324512
189,2963,2082777,2037,0.324605
190,2941,2085530,1999,0.3259
191,2916,2086362,1983,0.327486
192,2873,2077608,1968,0.330582
193,2914,2080308,1986,0.331852
194,2821,2067923,1969,0.335545
195,2903,2080585,1971,0.335253
196,2949,2085139,1974,0.33626
197,2865,2075163,1971,0.339581
198,2875,2076498,1967,0.341107
199,2898,2080476,1953,0.342176
200,2958,2094776,1962,0.341521
201,2868,2083552,1942,0.345002
202,2983,2098522,1955,0.344226
203,2987,2107330,1944,0.344496
204,3011,2113737,1974,0.345064
205,2872,2094261,1961,0.350058
206,2860,2094267,1969,0.351764
207,2942,2103294,1968,0.351975
208,2922,2104230,1968,0.353426
209,2896,2101215,1999,0.355638
210,2825,2089693,1992,0.359284
211,2977,2111087,2022,0.3574
212,2831,2097871,2007,0.36139
213,2969,2115749,2031,0.359979
214,2934,2115773,2059,0.361647
215,2920,2115401,2053,0.363428
216,2900,2118281,2077,0.364575
217,2828,2106567,2054,0.368243
218,2908,2120247,2093,0.367645
219,2850,2110641,2080,0.371046
220,2870,2116497,2098,0.371702
221,2818,2111009,2082,0.374254
222,2939,2126062,2080,0.3733
223,3012,2146442,2107,0.371318
224,2841,2122879,2082,0.377162
225,2867,2124348,2042,0.378633
226,2967,2144426,2061,0.376752
227,2910,2142703,2109,0.378581
228,2900,2145235,2129,0.379842
229,2858,2134745,2114,0.383334
230,2816,2125286,2103,0.386723
231,2922,2139326,2143,0.385968
232,2942,2146777,2115,0.386318
233,2823,2130817,2116,0.390993
234,2876,2134581,2111,0.392051
235,2819,2124431,2128,0.395619
236,2903,2136329,2131,0.395131
237,2728,2110754,2124,0.401687
238,2808,2114893,2145,0.402529
239,2915,2135363,2169,0.400305
240,2910,2141540,2157,0.400776
241,2751,2121706,2154,0.406218
242,2815,2129039,2145,0.406617
243,2831,2133204,2144,0.407544
244,2847,2134828,2122,0.409008
245,2835,2133620,2151,0.410766
246,2796,2128344,2146,0.413528
247,2814,2127863,2155,0.415344
248,2843,2138026,2157,0.415203
249,2857,2138560,2147,0.416667
250,2861,2139500,2155,0.418115
251,2768,2127827,2162,0.4222
252,2813,2132129,2159,0.423027
253,2849,2138814,2189,0.423257
254,2868,2147512,2162,0.42318
255,2740,2128026,2125,0.428681
256,2804,2135156,2104,0.428947
257,2786,2131666,2115,0.431301
258,2858,2139052,2143,0.431402
259,2800,2134204,2129,0.434258
260,2809,2132547,2158,0.436259
261,2763,2127788,2160,0.438987
262,2757,2122291,2149,0.441857
263,2860,2143877,2177,0.439174
264,2867,2149484,2144,0.439655
265,2811,2148564,2144,0.441446
266,2766,2139630,2158,0.445024
267,2844,2148715,2170,0.444863
268,2771,2139512,2136,0.448436
269,2887,2158625,2148,0.446209
270,2732,2140743,2141,0.451619
271,2793,2145646,2170,0.452313
272,2823,2151470,2152,0.452755
273,2792,2146132,2174,0.455585
274,2830,2152690,2189,0.45592
275,2670,2130317,2135,0.462357
276,2759,2134684,2156,0.463034
277,2874,2155745,2194,0.460153
278,2760,2146989,2166,0.463651
279,2759,2141726,2156,0.466388
280,2775,2144974,2125,0.467471
281,2757,2144169,2169,0.469405
282,2812,2153868,2161,0.468953
283,2760,2145914,2192,0.472305
284,2817,2153572,2202,0.472283
285,2740,2143558,2202,0.476074
286,2770,2146549,2189,0.477139
287,2839,2164788,2166,0.47477
288,2855,2172512,2180,0.474724
289,2780,2165821,2208,0.477813
290,2718,2152092,2174,0.482503
291,2752,2153149,2180,0.483976
292,2756,2153274,2178,0.485628
293,2742,2156177,2183,0.486655
294,2752,2156376,2173,0.488211
295,2824,2169634,2164,0.486963
296,2759,2166651,2140,0.489214
297,2756,2163032,2137,0.49177
298,2753,2160930,2115,0.493925
299,2722,2156153,2144,0.49672
300,2658,2141855,2174,0.50173
